학년|교과목명|과목코드|학과코드|과목번호|학점|시간|담당교수|강좌번호|제한인원|요일|시작시간|종료시간|강의실|비고
전학년|자기분석과직무역량개발|균사180|균사|180|2|2|김정우|0381|40|목|10:00|11:50|Y9035|
전학년|자기분석과직무역량개발|균사180|균사|180|2|2|김정우|0382|40|목|12:00|13:50|Y9035|
전학년|자기경영과실전취업준비|균사181|균사|181|2|2|홍주영|0383|40|월|10:00|11:50|Y9428|
전학년|자기경영과실전취업준비|균사181|균사|181|2|2|홍주영|0384|40|월|12:00|13:50|Y9428|
전학년|교양골프|균여101|균여|101|2|2|한희진|0387|30|월|13:00|14:50|Y6402|
전학년|교양골프|균여101|균여|101|2|2|한희진|0388|30|월|15:00|16:50|Y6402|
전학년|교양수영|균여102|균여|102|2|2|서명석|0389|30|월|09:00|12:50|Y6316|집중수업 (상반기 8주)
전학년|응급처치법|균여106|균여|106|3|3|함주호|0391|30|월|13:00|15:50|Y9001|
전학년|교양스포츠댄스|균여108|균여|108|2|2|박혜정|0392|30|수|13:00|14:50|Y6408|
전학년|교양스포츠댄스|균여108|균여|108|2|2|박혜정|0393|30|목|13:00|14:50|Y6408|
전학년|교양탁구|균여109|균여|109|2|2|박인애|0394|30|목|13:00|14:50|Y6302|
전학년|교양탁구|균여109|균여|109|2|2|박인애|0395|30|목|15:00|16:50|Y6302|
전학년|교양볼링|균여111|균여|111|2|2|황수웅|0396|30|화|11:00|12:50|Y6302|
전학년|교양볼링|균여111|균여|111|2|2|황수웅|0397|30|화|13:00|14:50|Y6302|
전학년|교양테니스|균여113|균여|113|2|2|정종상|0398|30|수|09:00|10:50|Y6404|
전학년|교양테니스|균여113|균여|113|2|2|정종상|0399|30|수|11:00|12:50|Y6404|
전학년|교양테니스|균여113|균여|113|2|2|정종상|0400|30|수|15:00|16:50|Y3236|
전학년|교양축구|균여115|균여|115|2|2|김진선|0402|30|목|09:00|10:50|Y6302|
전학년|교양농구|균여116|균여|116|2|2|김태진|0405|30|목|09:00|10:50|Y6404|
전학년|교양농구|균여116|균여|116|2|2|김태진|0406|30|목|11:00|12:50|Y6404|
전학년|영양과운동|균여118|균여|118|3|3|이애진|0407|30|월|10:00|10:50|Y23511|
전학년|영양과운동|균여118|균여|118|3|3|이애진|0407|30|수|09:00|10:50|Y23511|
전학년|장애인의이해|균여120|균여|120|3|3|고성희|0408|30|수|14:00|16:50|Y6119|
전학년|뉴스포츠|균여131|균여|131|2|2|권상현|0409|30|월|11:00|12:50|Y6308|
전학년|교양스포츠테이핑|균여135|균여|135|2|2|최진영|0410|30|화|10:00|11:50|Y6402|
전학년|교양스포츠테이핑|균여135|균여|135|2|2|최진영|0411|30|화|18:40|20:15|Y6402|스포츠지도학전공 우선 강좌배정
전학년|교양일본어|균외107|균외|107|3|3|박신영|0412|50|수|12:00|14:50|Y5125|
전학년|교양일본어|균외107|균외|107|3|3|이지현|0413|50|월|14:00|16:50|Y2535|
전학년|기초영어|균외126|균외|126|2|2|서정아|0414|32|화|13:00|13:50|Y9524|
전학년|기초영어|균외126|균외|126|2|2|서정아|0414|32|목|13:00|13:50|Y9524|
전학년|한국어문법입문|균외139|균외|139|3|3|김서형|0415|40|화|16:00|18:50|Y8110|외국어강의(영어)
전학년|한국어회화입문|균외140|균외|140|3|3|김서형|0416|40|목|13:00|15:50|Y8110|외국어강의(영어)
전학년|한국어독해입문|균외141|균외|141|3|3|김서형|0417|40|목|17:00|19:50|Y8110|외국어강의(영어)
전학년|한국어독해입문|균외141|균외|141|3|3|이유림|0418|40|목|10:00|12:50|Y8107|1급 외국인 교환방문학생 전용강좌
전학년|빅데이터인포그래픽(KCU)|균컴114|균컴|114|3|3|박찬웅|0419|200|목|03:01|06:00|S1850|온라인(원격수업)
전학년|AI와머신러닝|균컴115|균컴|115|3|3|김제민|0420|38|목|14:00|16:50|Y9125|
전학년|성공학특강|균명102|균명|102|2|2|조규근|0421|200|목|15:00|16:50|Y2446|N/P과목
전학년|용인학|균명104|균명|104|2|2|박종성|0422|45|목|15:00|16:50|Y5120|N/P과목
전학년|교수(구상호)세미나|균명386|균명|386|1|1|구상호|0423|20|목|18:00|18:50|Y23623|
전학년|전공과진로1|균명901|균명|901|1|1|김지현|1170|20|수|14:00|15:50|Y12134|N/P과목, 인더스트리얼디자인전공 전용
전학년|전공과진로2|균명902|균명|902|1|1|김창영|0424|20|화|09:00|09:50|Y6119|N/P과목
전학년|전공과진로2|균명902|균명|902|1|1|고성희|0425|20|수|13:00|13:50|Y6119|N/P과목
전학년|전공과진로2|균명902|균명|902|1|1|전병오|0426|20|수|12:00|12:50|Y6302|N/P과목
전학년|전공과진로2|균명902|균명|902|1|1|황수웅|0427|20|월|16:00|16:50|Y6106|N/P과목
전학년|교육학개론|교직801|교직|801|2|2|이응모|0428|30|월|13:00|14:50|Y9401|교직이수 과목
전학년|교육평가|교직805|교직|805|2|2|김윤정|0429|30|목|15:00|16:50|Y9401|교직이수 과목
전학년|교육철학및교육사|교직808|교직|808|2|2|이응모|0430|30|월|11:00|12:50|Y9401|교직이수 과목
전학년|특수교육학개론|교직809|교직|809|2|2|이지연|0431|30|수|13:00|14:50|Y9401|교직이수 과목
전학년|교육방법및교육공학|교직811|교직|811|2|2|이지연|0432|30|목|13:00|14:50|Y9401|교직이수 과목
전학년|교육사회|교직812|교직|812|2|2|이지연|0433|30|목|11:00|12:50|Y9401|교직이수 과목
전학년|학교폭력예방및학생의이해|교직818|교직|818|2|2|이지연|0435|30|화|11:00|12:50|Y9401|교직이수 과목
1학년|반도체화학|기자138|기자|138|3|3|정범석|0342|70|월|13:00|13:50|Y8114|반도체공학부 전용강좌
1학년|반도체화학|기자138|기자|138|3|3|정범석|0342|70|수|15:00|16:50|Y8114|반도체공학부 전용강좌
1학년|반도체물리|기자139|기자|139|3|3|김민우|0344|50|월|10:00|11:50|Y8110|반도체공학부 전용강좌
1학년|반도체물리|기자139|기자|139|3|3|김민우|0344|50|수|10:00|10:50|Y8110|반도체공학부 전용강좌
1학년|반도체물리|기자139|기자|139|3|3|박종문|0345|50|월|10:00|11:50|Y8107|반도체공학부 전용강좌
1학년|반도체물리|기자139|기자|139|3|3|박종문|0345|50|수|11:00|11:50|Y8107|반도체공학부 전용강좌
3학년|실기교육방법론|교직819|교직|819|3|3|김창영|0436|30|월|18:40|21:05|Y6119|
