학년|교과목명|과목코드|학과코드|과목번호|학점|시간|담당교수|강좌번호|제한인원|요일|시작시간|종료시간|강의실|비고
1|객체지향프로그래밍1|컴정102|컴정|102|3|3|조세형|0693|31|화|09:00|11:50|Y5407|1학년 우선 신청 과목(단과대 수강신청 기간 시 1학년 제외 수강 신청 인원 삭제 예정)
1|객체지향프로그래밍1|컴정102|컴정|102|3|3|현상원|0694|30|월|11:00|11:50|Y5445|1학년 우선 신청 과목(단과대 수강신청 기간 시 1학년 제외 수강 신청 인원 삭제 예정)
1|객체지향프로그래밍1|컴정102|컴정|102|3|3|현상원|0694|30|수|13:00|14:50|Y5445|1학년 우선 신청 과목(단과대 수강신청 기간 시 1학년 제외 수강 신청 인원 삭제 예정)
1|객체지향프로그래밍1|컴정102|컴정|102|3|3|고제욱|0695|30|월|13:00|15:50|Y5401|1학년 우선 신청 과목(단과대 수강신청 기간 시 1학년 제외 수강 신청 인원 삭제 예정)
1|객체지향프로그래밍1|컴정102|컴정|102|3|3|고제욱|0696|30|월|16:00|18:50|Y5401|1학년 우선 신청 과목(단과대 수강신청 기간 시 1학년 제외 수강 신청 인원 삭제 예정)
1|객체지향프로그래밍1|컴정102|컴정|102|3|3|배종우|0697|35|월|14:00|14:50|Y5534|1학년 우선 신청 과목(단과대 수강신청 기간 시 1학년 제외 수강 신청 인원 삭제 예정)
1|객체지향프로그래밍1|컴정102|컴정|102|3|3|배종우|0697|35|수|13:00|14:50|Y5534|1학년 우선 신청 과목(단과대 수강신청 기간 시 1학년 제외 수강 신청 인원 삭제 예정)
1|객체지향프로그래밍1|컴정102|컴정|102|3|3|배종우|0698|35|월|15:00|16:50|Y5534|1학년 우선 신청 과목(단과대 수강신청 기간 시 1학년 제외 수강 신청 인원 삭제 예정)
1|객체지향프로그래밍1|컴정102|컴정|102|3|3|배종우|0698|35|수|15:00|15:50|Y5534|1학년 우선 신청 과목(단과대 수강신청 기간 시 1학년 제외 수강 신청 인원 삭제 예정)
