학년,교과목명,과목코드,학과코드,과목번호,학점,시간,담당교수,강좌번호,제한인원,요일,시작시간,종료시간,강의실,비고
전학년,현대일본의이해,군사117,군사,117,2,2,김채원,0379,55,화,12:00,13:50,Y9006,
전학년,자기분석과직무역량개발,군사180,군사,180,2,2,김정우,0380,40,목,10:00,11:50,Y9517,
전학년,자기분석과직무역량개발,군사180,군사,180,2,2,김정우,0381,40,목,12:00,13:50,Y9517,
전학년,자기경영과실전취업준비,군사181,군사,181,2,2,홍주영,0382,40,월,10:00,11:50,Y9428,
전학년,자기경영과실전취업준비,군사181,군사,181,2,2,홍주영,0383,40,월,12:00,13:50,Y9428,
전학년,자기경영과실전취업준비,군사181,군사,181,2,2,강영옥,0384,40,수,13:00,14:50,Y9428,
전학년,자기경영과실전취업준비,군사181,군사,181,2,2,강영옥,0385,40,수,15:00,16:50,Y9428,
전학년,기초미적분학,군과110,군과,110,3,3,김재덕,0387,44,월,09:00,10:50,Y9508,
전학년,기초미적분학,군과110,군과,110,3,3,김재덕,0387,44,수,09:00,09:50,Y9508,
전학년,기초미적분학,군과110,군과,110,3,3,심효진,0388,48,화,15:00,15:50,Y9519,
전학년,기초미적분학,군과110,군과,110,3,3,심효진,0388,48,목,14:00,15:50,Y9519,
전학년,교양볼링,군여111,군여,111,2,2,황수웅,0400,31,목,10:00,11:50,Y6402,
전학년,교양볼링,군여111,군여,111,2,2,황수웅,0401,30,목,12:00,13:50,Y6402,
전학년,기초영어,군인126,군인,126,2,2,서정아,0417,35,화,10:00,10:50,Y9524,
전학년,기초영어,군인126,군인,126,2,2,서정아,0417,35,목,09:00,10:50,Y9524,
전학년,기초영어,군인126,군인,126,2,2,서정아,0418,35,화,11:00,11:50,Y9524,
전학년,기초영어,군인126,군인,126,2,2,서정아,0418,35,목,11:00,11:50,Y9524,
1학년,MJC리서치세미나,군업638,군업,638,2,2,변하영,0429,34,금,14:00,15:50,Y19112,
1학년,MJC리서치세미나,군업638,군업,638,2,2,안진원,0430,32,금,14:00,15:50,Y5434,
1학년,MJC리서치세미나,군업638,군업,638,2,2,김춘중,0431,29,금,14:00,15:50,Y5271,
